GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pdv,net.originmobi.pdv.security,LoginUserDatailsService,81,3,6,0,14,1,6,1,3,1
pdv,net.originmobi.pdv.security,SecurityConfig,0,541,0,0,0,63,0,3,0,3
pdv,net.originmobi.pdv.security,UsuarioSistema,16,0,0,0,6,0,3,0,3,0
pdv,net.originmobi.pdv.enumerado.ajuste,AjusteStatus,3,34,0,0,1,5,1,2,1,2
pdv,net.originmobi.pdv.service,CategoriaService,20,6,0,0,5,2,3,1,3,1
pdv,net.originmobi.pdv.service,CstService,4,3,0,0,1,1,1,1,1,1
pdv,net.originmobi.pdv.service,PagamentoTipoService,39,6,0,0,9,2,4,1,4,1
pdv,net.originmobi.pdv.service,TributacaoRegraService,94,3,2,0,24,1,6,1,5,1
pdv,net.originmobi.pdv.service,AjusteProdutoService,129,3,10,0,30,1,9,1,4,1
pdv,net.originmobi.pdv.service,ReceberService,34,3,0,0,9,1,3,1,3,1
pdv,net.originmobi.pdv.service,TributacaoService,49,3,2,0,13,1,3,1,2,1
pdv,net.originmobi.pdv.service,RecebimentoParcelaService,9,3,0,0,2,1,2,1,2,1
pdv,net.originmobi.pdv.service,ProdutoService,228,6,12,0,40,2,14,1,8,1
pdv,net.originmobi.pdv.service,TransferenciaService,119,3,12,0,21,1,7,1,1,1
pdv,net.originmobi.pdv.service,CidadeService,9,3,0,0,2,1,2,1,2,1
pdv,net.originmobi.pdv.service,PessoaService,187,6,14,0,44,2,12,1,5,1
pdv,net.originmobi.pdv.service,CfopService,4,3,0,0,1,1,1,1,1,1
pdv,net.originmobi.pdv.service,GrupoService,20,6,0,0,5,2,3,1,3,1
pdv,net.originmobi.pdv.service,PermissoesService,9,3,0,0,2,1,2,1,2,1
pdv,net.originmobi.pdv.service,RegimeTributarioService,9,3,0,0,2,1,2,1,2,1
pdv,net.originmobi.pdv.service,EmpresaService,117,48,1,3,39,14,2,4,1,3
pdv,net.originmobi.pdv.service,VendaProdutoService,42,3,0,0,11,1,8,1,8,1
pdv,net.originmobi.pdv.service,TelefoneService,23,6,0,0,7,2,2,1,2,1
pdv,net.originmobi.pdv.service,PagarService,11,293,3,7,1,54,4,5,1,3
pdv,net.originmobi.pdv.service,EmpresaParametrosService,10,3,0,0,3,1,2,1,2,1
pdv,net.originmobi.pdv.service,CaixaService,404,3,44,0,79,1,34,1,12,1
pdv,net.originmobi.pdv.service,TituloTipoService,4,3,0,0,1,1,1,1,1,1
pdv,net.originmobi.pdv.service,EnderecoService,37,6,0,0,10,2,4,1,4,1
pdv,net.originmobi.pdv.service,PagarTipoService,9,3,0,0,2,1,2,1,2,1
pdv,net.originmobi.pdv.service,UsuarioService,171,6,12,0,45,2,11,1,5,1
pdv,net.originmobi.pdv.service,CstCsosnService,4,3,0,0,1,1,1,1,1,1
pdv,net.originmobi.pdv.service,PagarParcelaService,60,3,4,0,12,1,7,1,5,1
pdv,net.originmobi.pdv.service,CaixaLancamentoService,24,115,8,14,5,28,7,7,0,3
pdv,net.originmobi.pdv.service,RecebimentoService,458,3,34,0,90,1,20,1,3,1
pdv,net.originmobi.pdv.service,FornecedorService,150,6,6,0,29,2,7,1,4,1
pdv,net.originmobi.pdv.service,AjusteService,183,3,10,0,37,1,10,1,5,1
pdv,net.originmobi.pdv.service,ImagemProdutoService,173,3,4,0,36,1,6,1,4,1
pdv,net.originmobi.pdv.service,ParcelaService,171,3,6,0,23,1,9,1,6,1
pdv,net.originmobi.pdv.service,GrupoUsuarioService,18,109,0,6,7,29,0,11,0,8
